,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
244,Roubo seguido de morte (latrocínio),Goiás,2014,,52,GO,6523220,Desligado,37200,,570.2705105760651
249,Roubo de veículo,Goiás,2014,,52,GO,6523220,Desligado,37200,,570.2705105760651
254,Lesão corporal seguida de morte,Goiás,2014,,52,GO,6523220,Desligado,37200,,570.2705105760651
259,Homicídio doloso,Goiás,2014,,52,GO,6523220,Desligado,37200,,570.2705105760651
264,Furto de veículo,Goiás,2014,,52,GO,6523220,Desligado,37200,,570.2705105760651
269,Estupro,Goiás,2014,,52,GO,6523220,Desligado,37200,,570.2705105760651
274,Roubo seguido de morte (latrocínio),Maranhão,2014,72.0,21,MA,6850880,Desligado,18389,1.0509598766873745,268.4180718389463
279,Roubo de veículo,Maranhão,2014,3347.0,21,MA,6850880,Desligado,18389,48.85503760100892,268.4180718389463
284,Lesão corporal seguida de morte,Maranhão,2014,125.0,21,MA,6850880,Desligado,18389,1.8245831192489141,268.4180718389463
289,Homicídio doloso,Maranhão,2014,1904.0,21,MA,6850880,Desligado,18389,27.79205007239946,268.4180718389463
294,Furto de veículo,Maranhão,2014,1735.0,21,MA,6850880,Desligado,18389,25.325213695174924,268.4180718389463
299,Estupro,Maranhão,2014,1019.0,21,MA,6850880,Desligado,18389,14.874001588117148,268.4180718389463
304,Roubo seguido de morte (latrocínio),Mato Grosso,2014,46.0,51,MT,3224360,Desligado,21408,1.4266397052438313,663.9457132578249
309,Roubo de veículo,Mato Grosso,2014,4338.0,51,MT,3224360,Desligado,21408,134.53832698582045,663.9457132578249
314,Lesão corporal seguida de morte,Mato Grosso,2014,33.0,51,MT,3224360,Desligado,21408,1.0234589189792702,663.9457132578249
319,Homicídio doloso,Mato Grosso,2014,1276.0,51,MT,3224360,Desligado,21408,39.57374486719845,663.9457132578249
324,Furto de veículo,Mato Grosso,2014,4025.0,51,MT,3224360,Desligado,21408,124.83097420883523,663.9457132578249
329,Estupro,Mato Grosso,2014,1300.0,51,MT,3224360,Desligado,21408,40.318078626456106,663.9457132578249
334,Roubo seguido de morte (latrocínio),Mato Grosso do Sul,2014,19.0,50,MS,2619660,Desligado,22418,0.7252849606437476,855.7599077742914
339,Roubo de veículo,Mato Grosso do Sul,2014,546.0,50,MS,2619660,Desligado,22418,20.84239939534138,855.7599077742914
344,Lesão corporal seguida de morte,Mato Grosso do Sul,2014,7.0,50,MS,2619660,Desligado,22418,0.2672102486582228,855.7599077742914
349,Homicídio doloso,Mato Grosso do Sul,2014,463.0,50,MS,2619660,Desligado,22418,17.674049304108166,855.7599077742914
354,Furto de veículo,Mato Grosso do Sul,2014,1602.0,50,MS,2619660,Desligado,22418,61.15297405006756,855.7599077742914
359,Estupro,Mato Grosso do Sul,2014,1326.0,50,MS,2619660,Desligado,22418,50.61725567440049,855.7599077742914
364,Roubo seguido de morte (latrocínio),Minas Gerais,2014,67.0,31,MG,20734100,Desligado,79573,0.32313917652562685,383.77841333841354
369,Roubo de veículo,Minas Gerais,2014,,31,MG,20734100,Desligado,79573,,383.77841333841354
374,Lesão corporal seguida de morte,Minas Gerais,2014,64.0,31,MG,20734100,Desligado,79573,0.3086702581737331,383.77841333841354
379,Homicídio doloso,Minas Gerais,2014,3958.0,31,MG,20734100,Desligado,79573,19.089326278931807,383.77841333841354
384,Furto de veículo,Minas Gerais,2014,,31,MG,20734100,Desligado,79573,,383.77841333841354
389,Estupro,Minas Gerais,2014,,31,MG,20734100,Desligado,79573,,383.77841333841354
394,Roubo seguido de morte (latrocínio),Pará,2014,175.0,15,PA,8073920,Desligado,19137,2.167472553604693,237.02241290476002
399,Roubo de veículo,Pará,2014,2399.0,15,PA,8073920,Desligado,19137,29.712952320558045,237.02241290476002
404,Lesão corporal seguida de morte,Pará,2014,24.0,15,PA,8073920,Desligado,19137,0.29725337878007213,237.02241290476002
409,Homicídio doloso,Pará,2014,3232.0,15,PA,8073920,Desligado,19137,40.03012167571638,237.02241290476002
414,Furto de veículo,Pará,2014,797.0,15,PA,8073920,Desligado,19137,9.87128928698823,237.02241290476002
419,Estupro,Pará,2014,550.0,15,PA,8073920,Desligado,19137,6.812056597043321,237.02241290476002
424,Roubo seguido de morte (latrocínio),Paraíba,2014,19.0,25,PB,3943880,Desligado,5827,0.48175907989086886,147.74790308021542
429,Roubo de veículo,Paraíba,2014,570.0,25,PB,3943880,Desligado,5827,14.452772396726067,147.74790308021542
434,Lesão corporal seguida de morte,Paraíba,2014,5.0,25,PB,3943880,Desligado,5827,0.12677870523443918,147.74790308021542
439,Homicídio doloso,Paraíba,2014,1431.0,25,PB,3943880,Desligado,5827,36.2840654380965,147.74790308021542
444,Furto de veículo,Paraíba,2014,544.0,25,PB,3943880,Desligado,5827,13.793523129506982,147.74790308021542
449,Estupro,Paraíba,2014,367.0,25,PB,3943880,Desligado,5827,9.305556964207836,147.74790308021542
454,Roubo seguido de morte (latrocínio),Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
459,Roubo de veículo,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
464,Lesão corporal seguida de morte,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
469,Homicídio doloso,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
474,Furto de veículo,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
479,Estupro,Pernambuco,2014,,26,PE,9278150,Desligado,38329,,413.11037221859965
484,Roubo seguido de morte (latrocínio),Piauí,2014,33.0,22,PI,3193960,Desligado,6643,1.0332001653120264,207.98632418690278
489,Roubo de veículo,Piauí,2014,2866.0,22,PI,3193960,Desligado,6643,89.73186890255357,207.98632418690278
494,Lesão corporal seguida de morte,Piauí,2014,14.0,22,PI,3193960,Desligado,6643,0.43832734285964764,207.98632418690278
499,Homicídio doloso,Piauí,2014,659.0,22,PI,3193960,Desligado,6643,20.632694210321983,207.98632418690278
504,Furto de veículo,Piauí,2014,1456.0,22,PI,3193960,Desligado,6643,45.586043657403344,207.98632418690278
509,Estupro,Piauí,2014,481.0,22,PI,3193960,Desligado,6643,15.05967513682075,207.98632418690278
514,Roubo seguido de morte (latrocínio),Paraná,2014,44.0,41,PR,11081700,Desligado,46160,0.3970509939810679,416.5425882310476
519,Roubo de veículo,Paraná,2014,8539.0,41,PR,11081700,Desligado,46160,77.0549644910077,416.5425882310476
524,Lesão corporal seguida de morte,Paraná,2014,81.0,41,PR,11081700,Desligado,46160,0.7309347843742386,416.5425882310476
529,Homicídio doloso,Paraná,2014,1367.0,41,PR,11081700,Desligado,46160,12.335652472093633,416.5425882310476
534,Furto de veículo,Paraná,2014,16452.0,41,PR,11081700,Desligado,46160,148.460976204012,416.5425882310476
539,Estupro,Paraná,2014,4298.0,41,PR,11081700,Desligado,46160,38.784663002968855,416.5425882310476
544,Roubo seguido de morte (latrocínio),Rio de Janeiro,2014,146.0,33,RJ,16461200,Desligado,87948,0.8869341238791826,534.2745364857968
549,Roubo de veículo,Rio de Janeiro,2014,19911.753000000004,33,RJ,16461200,Desligado,87948,120.96173425995677,534.2745364857968
554,Lesão corporal seguida de morte,Rio de Janeiro,2014,39.0,33,RJ,16461200,Desligado,87948,0.23692075911841176,534.2745364857968
559,Homicídio doloso,Rio de Janeiro,2014,4610.0,33,RJ,16461200,Desligado,87948,28.00524870604816,534.2745364857968
564,Furto de veículo,Rio de Janeiro,2014,17684.0,33,RJ,16461200,Desligado,87948,107.42837703205113,534.2745364857968
569,Estupro,Rio de Janeiro,2014,5163.0,33,RJ,16461200,Desligado,87948,31.36466357252205,534.2745364857968
574,Roubo seguido de morte (latrocínio),Rio Grande do Norte,2014,20.0,24,RN,3408510,Desligado,7224,0.586766651704117,211.9401145955271
579,Roubo de veículo,Rio Grande do Norte,2014,822.0,24,RN,3408510,Desligado,7224,24.11610938503921,211.9401145955271
584,Lesão corporal seguida de morte,Rio Grande do Norte,2014,95.0,24,RN,3408510,Desligado,7224,2.787141595594556,211.9401145955271
589,Homicídio doloso,Rio Grande do Norte,2014,871.0,24,RN,3408510,Desligado,7224,25.553687681714297,211.9401145955271
594,Furto de veículo,Rio Grande do Norte,2014,406.0,24,RN,3408510,Desligado,7224,11.911363029593575,211.9401145955271
599,Estupro,Rio Grande do Norte,2014,215.0,24,RN,3408510,Desligado,7224,6.3077415058192585,211.9401145955271
604,Roubo seguido de morte (latrocínio),Rondônia,2014,22.0,11,RO,1748530,Desligado,7776,1.258199744928597,444.7164189347624
609,Roubo de veículo,Rondônia,2014,1225.0,11,RO,1748530,Desligado,7776,70.05884943352416,444.7164189347624
614,Lesão corporal seguida de morte,Rondônia,2014,7.0,11,RO,1748530,Desligado,7776,0.4003362824772809,444.7164189347624
619,Homicídio doloso,Rondônia,2014,525.0,11,RO,1748530,Desligado,7776,30.025221185796067,444.7164189347624
624,Furto de veículo,Rondônia,2014,2989.0,11,RO,1748530,Desligado,7776,170.94359261779897,444.7164189347624
629,Estupro,Rondônia,2014,711.0,11,RO,1748530,Desligado,7776,40.66272812019239,444.7164189347624
634,Roubo seguido de morte (latrocínio),Roraima,2014,2.0,14,RR,496936,Desligado,4476,0.40246631356955426,900.7196097686623
639,Roubo de veículo,Roraima,2014,231.0,14,RR,496936,Desligado,4476,46.484859217283514,900.7196097686623
644,Lesão corporal seguida de morte,Roraima,2014,,14,RR,496936,Desligado,4476,,900.7196097686623
649,Homicídio doloso,Roraima,2014,65.0,14,RR,496936,Desligado,4476,13.080155191010512,900.7196097686623
654,Furto de veículo,Roraima,2014,518.0,14,RR,496936,Desligado,4476,104.23877521451455,900.7196097686623
659,Estupro,Roraima,2014,273.0,14,RR,496936,Desligado,4476,54.93665180224415,900.7196097686623
664,Roubo seguido de morte (latrocínio),Rio Grande do Sul,2014,121.0,43,RS,11207300,Desligado,38953,1.0796534401684617,347.5681029329098
669,Roubo de veículo,Rio Grande do Sul,2014,13622.0,43,RS,11207300,Desligado,38953,121.5457781981387,347.5681029329098
674,Lesão corporal seguida de morte,Rio Grande do Sul,2014,51.0,43,RS,11207300,Desligado,38953,0.45506054089745074,347.5681029329098
679,Homicídio doloso,Rio Grande do Sul,2014,2226.0,43,RS,11207300,Desligado,38953,19.862054196818146,347.5681029329098
684,Furto de veículo,Rio Grande do Sul,2014,18585.0,43,RS,11207300,Desligado,38953,165.8294147564534,347.5681029329098
689,Estupro,Rio Grande do Sul,2014,3162.0,43,RS,11207300,Desligado,38953,28.213753535641946,347.5681029329098
694,Roubo seguido de morte (latrocínio),Santa Catarina,2014,35.0,42,SC,6727150,Desligado,28784,0.5202797618605204,427.878076154092
699,Roubo de veículo,Santa Catarina,2014,2864.0,42,SC,6727150,Desligado,28784,42.57374965624373,427.878076154092
704,Lesão corporal seguida de morte,Santa Catarina,2014,44.0,42,SC,6727150,Desligado,28784,0.65406598633894,427.878076154092
709,Homicídio doloso,Santa Catarina,2014,592.0,42,SC,6727150,Desligado,28784,8.800160543469374,427.878076154092
714,Furto de veículo,Santa Catarina,2014,13165.0,42,SC,6727150,Desligado,28784,195.69951613982147,427.878076154092
719,Estupro,Santa Catarina,2014,2675.0,42,SC,6727150,Desligado,28784,39.76423894219692,427.878076154092
724,Roubo seguido de morte (latrocínio),Sergipe,2014,46.0,28,SE,2219570,Desligado,5146,2.0724734971188115,231.84670904724788
729,Roubo de veículo,Sergipe,2014,1778.0,28,SE,2219570,Desligado,5146,80.10560604080972,231.84670904724788
734,Lesão corporal seguida de morte,Sergipe,2014,9.0,28,SE,2219570,Desligado,5146,0.405483945088463,231.84670904724788
739,Homicídio doloso,Sergipe,2014,999.0,28,SE,2219570,Desligado,5146,45.008717904819406,231.84670904724788
744,Furto de veículo,Sergipe,2014,637.0,28,SE,2219570,Desligado,5146,28.699252557927885,231.84670904724788
749,Estupro,Sergipe,2014,432.0,28,SE,2219570,Desligado,5146,19.463229364246228,231.84670904724788
754,Roubo seguido de morte (latrocínio),São Paulo,2014,372.0,35,SP,44035300,Desligado,217733,0.8447768040640122,494.45104268620855
759,Roubo de veículo,São Paulo,2014,49126.37400000001,35,SP,44035300,Desligado,217733,111.56134737358441,494.45104268620855
764,Lesão corporal seguida de morte,São Paulo,2014,,35,SP,44035300,Desligado,217733,,494.45104268620855
769,Homicídio doloso,São Paulo,2014,4294.0,35,SP,44035300,Desligado,217733,9.751267732932444,494.45104268620855
774,Furto de veículo,São Paulo,2014,72845.79699999999,35,SP,44035300,Desligado,217733,165.42591284719302,494.45104268620855
779,Estupro,São Paulo,2014,10029.0,35,SP,44035300,Desligado,217733,22.7749101289193,494.45104268620855
784,Roubo seguido de morte (latrocínio),Tocantins,2014,14.0,17,TO,1496880,Desligado,7720,0.9352787130564908,515.7394046282935
789,Roubo de veículo,Tocantins,2014,474.0,17,TO,1496880,Desligado,7720,31.665864999198334,515.7394046282935
794,Lesão corporal seguida de morte,Tocantins,2014,9.0,17,TO,1496880,Desligado,7720,0.6012506012506013,515.7394046282935
799,Homicídio doloso,Tocantins,2014,313.0,17,TO,1496880,Desligado,7720,20.91015979904869,515.7394046282935
804,Furto de veículo,Tocantins,2014,1421.0,17,TO,1496880,Desligado,7720,94.93078937523383,515.7394046282935
809,Estupro,Tocantins,2014,425.0,17,TO,1496880,Desligado,7720,28.392389503500613,515.7394046282935
